Latest Layoff,Company,Total Laid Off to Date,Industry
2/11/2009,W.W. Grainger,400,Capital Goods
2/11/2009,Terex,5000,Capital Goods
2/5/2009,Est‚e Lauder,2000,Personal Products
2/5/2009,Allergan,460,Pharmaceuticals
2/4/2009,Cisco Systems,2000,Technology
2/3/2009,Bancshares,500,Banking
2/3/2009,PNC Financial Services,5800,Banking
2/2/2009,Macy's,7000,Retailing
1/30/2009,Sears Holdings,300,Retailing
1/29/2009,Broadcom,200,Semiconductors
1/29/2009,International Gaming Technology,200,Leisure
1/29/2009,Eastman Kodak,4500,Household
1/29/2009,Black and Decker,1200,Household
1/28/2009,Starbucks,6700,Restaurants
1/27/2009,Target,1000,Retailing
1/27/2009,Masco,600,Construction
1/26/2009,Texas Instruments,3400,Semiconductors
1/26/2009,Lincoln National,540,Insurance
1/23/2009,Abercrombie & Fitch,50,Retailing
1/22/2009,Huntsman,1665,Chemicals
1/21/2009,Burlington Santa Fe,2500,Transportation
1/21/2009,Intel,5000,Semiconductors
1/21/2009,Wynn Resorts,53,Leisure
1/21/2009,Eaton,5609,Capital Goods
1/16/2009,ConocoPhillips,1300,Oil & Gas
1/16/2009,Hertz Global Holdings,4000,Business Services
1/16/2009,Advanced Micro Devices,1700,Semiconductors
1/15/2009,MeadWestvaco,2000,Materials
1/15/2009,Autodesk,750,Software
1/15/2009,Marshall & Ilsley,830,Banking
1/14/2009,Ecolab,1000,Chemicals
1/14/2009,Motorola,4000,Technology
1/13/2009,KeyCorp,200,Banking
1/13/2009,Newell Rubbermaid,75,Household
1/12/2009,Mosaic,1000,Chemicals
1/9/2009,Oracle,500,Software
1/9/2009,Smithfield Foods,75,Food
1/8/2009,Union Pacific,230,Transportation
1/7/2009,Walgreen,1000,Retailing
1/7/2009,EMC,2400,Technology
1/5/2009,Cigna,1100,Health Care
12/31/2008,Mohawk Industries,160,Consumer Durables
12/31/2008,Target,132,Retailing
12/30/2008,Allegheny Technologies,323,Materials
12/30/2008,Motorola,400,Technology
12/23/2008,"ULA (Boeing, Lockheed Martin)",172,Joint Venture
12/23/2008,Las Vegas Sands,11500,Leisure
12/22/2008,Parker-Hannifin,405,Capital Goods
12/19/2008,Genworth Financial,1000,Insurance
12/19/2008,Sovereign Bancorp,1000,Banking
12/18/2008,Omnicom Group,3145,Media
12/17/2008,Ryder System,3100,Services
12/17/2008,Western Digital,2500,Technology
12/17/2008,Parker-Hannifin,46,Capital Goods
12/15/2008,Merrill Lynch,400,Financials
12/15/2008,Charles Schwab,100,Financials
12/12/2008,International Paper,2050,Materials
12/11/2008,Bank of America,35000,Banking
12/11/2008,Whirlpool,250,Durables
12/10/2008,Mohawk Industries,105,Durables
12/9/2008,Praxair,1600,Chemicals
