,Company,Location,# Laid Off,Date,Source,$ Raised (mm),%,List of Employees Laid Off
304,Flyhomes,['Seattle'],200.0,2022-07-20T00:00:00.000Z,https://www.geekwire.com/2022/seattle-real-estate-startup-flyhomes-cuts-20-of-staff-citing-uncertain-economic-conditions/,310.0,0.2,
310,Invitae,['SF Bay Area'],1000.0,2022-07-19T00:00:00.000Z,https://www.genomeweb.com/business-news/invitae-lay-over-1000-workers-amid-restructuring-leadership-transition#.YtbajOzMK8D,2000.0,,
311,Olive,['Columbus'],450.0,2022-07-19T00:00:00.000Z,https://oliveai.com/important-changes-to-our-business,856.0,0.31,https://coda.io/@mark-butler-olive-ai/olive-talent-hub
330,Tonal,['SF Bay Area'],262.0,2022-07-13T00:00:00.000Z,https://www.cnbc.com/2022/07/13/peloton-rival-tonal-cuts-jobs-ahead-of-possible-recession-ipo.html,450.0,0.35000000000000003,https://docs.google.com/spreadsheets/d/1cxdOcme0IomWIlR767xTsefH6QJd-sjrxLWssp38EH8/edit
331,Fabric,['New York City'],120.0,2022-07-13T00:00:00.000Z,https://techcrunch.com/2022/07/13/fabric-lays-off-40-of-staff-as-it-shifts-strategy-from-service-to-platform/,336.0,0.4,
332,ChowNow,['Los Angeles'],100.0,2022-07-13T00:00:00.000Z,https://techcrunch.com/2022/07/13/signaling-tough-times-ahead-chownow-lays-off-employees/,64.0,,
337,Gopuff,['Philadelphia'],1500.0,2022-07-12T00:00:00.000Z,https://www.bloomberg.com/news/articles/2022-07-12/gopuff-is-cutting-10-jobs-in-us-closing-warehouses-to-preserve-cash,3400.0,0.1,
345,Butler Hospitality,['New York City'],1000.0,2022-07-08T00:00:00.000Z,https://techcrunch.com/2022/07/08/butler-shows-hundreds-of-employees-the-door-after-raising-50m-for-room-service-delivery/,50.0,1.0,
346,Calibrate,['New York City'],156.0,2022-07-08T00:00:00.000Z,https://news.bloomberglaw.com/capital-markets/health-startup-calibrate-cuts-24-of-workforce-in-restructuring,127.0,0.24,
348,Argo AI,['Pittsburgh'],150.0,2022-07-07T00:00:00.000Z,https://techcrunch.com/2022/07/07/ford-vw-backed-argo-ai-lays-off-150-workers-slows-hiring/,3600.0,0.05,
349,Next Insurance,['SF Bay Area'],150.0,2022-07-07T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/byybineic,881.0,0.17,https://docs.google.com/spreadsheets/d/1DqiSyJHUnnIfJBQh_yO9DxCYyI1NLJThpPYpBql0fWU/edit
354,Remote,['SF Bay Area'],100.0,2022-07-06T00:00:00.000Z,https://www.publico.pt/2022/07/06/economia/noticia/crise-chega-tecnologicas-portugal-remote-despede-9-2012650,496.0,0.09,
357,Bizzabo,['New York City'],120.0,2022-07-05T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/hysobwfi5,194.0,0.3,
362,Celsius,['New York City'],150.0,2022-07-03T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/syvuxha99,864.0,0.25,
369,Enjoy,['SF Bay Area'],400.0,2022-06-30T00:00:00.000Z,https://news.crunchbase.com/public/bankruptcy-enjoy-apple-ron-johnson/,310.0,0.18,
378,Unity,['SF Bay Area'],200.0,2022-06-29T00:00:00.000Z,https://kotaku.com/sources-unity-laying-off-hundreds-of-staffers-1849125482,1300.0,0.04,
389,StockX,['Detroit'],120.0,2022-06-28T00:00:00.000Z,https://www.theinformation.com/briefings/stockx-cuts-8-of-its-staff,690.0,0.08,
390,Sidecar Health,['Los Angeles'],110.0,2022-06-28T00:00:00.000Z,Internal memo,163.0,0.4,
393,AppLovin,['SF Bay Area'],300.0,2022-06-27T00:00:00.000Z,https://www.bizjournals.com/sanjose/news/2022/06/29/applovin-lays-off-300-workers-report.html,1600.0,0.12,
394,UiPath,['New York City'],210.0,2022-06-27T00:00:00.000Z,https://www.cnbc.com/2022/06/27/uipath-to-cut-5percent-of-its-workforce-as-part-of-restructuring-plan.html,2000.0,0.05,
395,Cue,['San Diego'],170.0,2022-06-27T00:00:00.000Z,https://www.genomeweb.com/business-news/cue-health-lay-170-people#.YrpDa-zML9t,999.0,,
404,Netflix,['SF Bay Area'],300.0,2022-06-23T00:00:00.000Z,https://www.cnbc.com/2022/06/23/netflix-lays-off-300-more-employees-as-revenue-growth-continues-to-slow.html,121900.0,0.03,https://docs.google.com/spreadsheets/d/169YaIM7UtRCggfVkX1C-F-g_dvpiVf5NbnUkGdo8txk/edit#gid=0
