,Company,Location,# Laid Off,Date,Source,$ Raised (mm),%,List of Employees Laid Off
728,Uber,['SF Bay Area'],3700.0,2020-05-06T00:00:00.000Z,https://layoffs.fyi/2020/05/12/uber-laid-off-3700-employees-with-more-expected/,24700.0,0.14,
729,Validity,['Boston'],130.0,2020-05-06T00:00:00.000Z,https://www.americaninno.com/boston/inno-news-boston/customer-data-quality-startup-validity-lays-off-130/,,0.33,
730,Flatiron School,['New York City'],100.0,2020-05-06T00:00:00.000Z,https://www.businessinsider.com/weworks-flatiron-school-lays-off-workers-2020-5,15.0,,
734,Airbnb,['SF Bay Area'],1900.0,2020-05-05T00:00:00.000Z,https://layoffs.fyi/2020/05/07/airbnb-laid-off-1900-employees/,5400.0,0.25,
735,Juul,['SF Bay Area'],900.0,2020-05-05T00:00:00.000Z,https://layoffs.fyi/2020/06/03/juul-layoff-list-emerges-1550-employees-have-been-cut-in-the-past-year/,1500.0,0.3,
736,Andela,['New York City'],135.0,2020-05-05T00:00:00.000Z,https://layoffs.fyi/2020/07/08/andela-layoff-list-emerges/,181.0,0.1,
743,Namely,['New York City'],110.0,2020-05-01T00:00:00.000Z,https://layoffs.fyi/2020/05/11/namely-laid-off-160-employees-citing-challenges-faced-by-its-smb-customers/,217.0,0.4,
748,Bullhorn,['Boston'],100.0,2020-04-30T00:00:00.000Z,https://layoffs.fyi/2020/05/05/bullhorn-laid-off-100-employees/,32.0,,
754,Lyft,['SF Bay Area'],982.0,2020-04-29T00:00:00.000Z,https://layoffs.fyi/2020/04/30/lyft-laid-off-982-employees/,4900.0,0.17,
755,WeWork,['SF Bay Area'],300.0,2020-04-29T00:00:00.000Z,https://news.crunchbase.com/news/wework-lays-off-staff-as-part-of-a-realignment/,2250.0,,
756,Kayak / OpenTable,['Stamford'],160.0,2020-04-29T00:00:00.000Z,https://skift.com/2020/04/29/kayak-and-opentable-layoffs-and-furloughs-impact-400-employees/,229.0,0.08,
757,Kitopi,['New York City'],124.0,2020-04-29T00:00:00.000Z,https://commercialobserver.com/2020/04/ghost-kitchen-kitopi-cuts-124-new-york-city-employees/,89.0,,
760,TripAdvisor,['Boston'],900.0,2020-04-28T00:00:00.000Z,https://layoffs.fyi/2020/04/30/tripadvisor-laid-off-900-employees/,3.0,0.25,
767,Automation Anywhere,['SF Bay Area'],260.0,2020-04-27T00:00:00.000Z,https://siliconangle.com/2020/04/27/automation-anywhere-lays-off-tenth-workforce-due-covid-19/,840.0,0.1,
777,StockX,['Detroit'],100.0,2020-04-23T00:00:00.000Z,https://www.inputmag.com/style/stockx-layoffs-12-percent-staff-cutting-costs-profit,160.0,0.12,
785,Magic Leap,['Miami'],1000.0,2020-04-22T00:00:00.000Z,https://layoffs.fyi/2020/04/27/magic-leap-laid-off-1000-employees/,2600.0,0.5,
790,Lending Club,['SF Bay Area'],460.0,2020-04-21T00:00:00.000Z,https://www.cnbc.com/2020/04/21/lendingclub-cuts-30percent-of-workforce-as-covid-19-dampens-demand-for-loans.html,392.0,0.3,
791,Houzz,['SF Bay Area'],155.0,2020-04-21T00:00:00.000Z,https://techcrunch.com/2020/04/21/houzz-lays-off-155-employees-cuts-executive-salaries/,613.0,0.1,
804,Greenhouse Software,['New York City'],120.0,2020-04-17T00:00:00.000Z,https://layoffs.fyi/2020/04/20/greenhouse-lays-off-120-employees/,110.0,0.28,
811,CarGurus,['Boston'],130.0,2020-04-16T00:00:00.000Z,https://layoffs.fyi/2020/05/04/cargurus-laid-off-130-employees/,1.0,0.13,
817,Opendoor,['SF Bay Area'],600.0,2020-04-15T00:00:00.000Z,https://layoffs.fyi/2020/04/16/opendoor-lays-off-600-people-amid-declining-real-estate-activity/,1500.0,0.35000000000000003,
818,GoPro,['SF Bay Area'],200.0,2020-04-15T00:00:00.000Z,https://techcrunch.com/2020/04/16/gopro-lays-off-200-employees-representing-20-of-the-company/,288.0,0.2,
819,Zume,['SF Bay Area'],200.0,2020-04-15T00:00:00.000Z,https://www.businessinsider.com/zume-employee-layoffs-softbank-robotics-startup-zoom-2020-4,423.0,0.67,
820,Carta,['SF Bay Area'],161.0,2020-04-15T00:00:00.000Z,https://layoffs.fyi/2020/04/22/carta-laid-off-161-employees-citing-customer-slowdown/,447.0,0.16,
826,The RealReal,['SF Bay Area'],235.0,2020-04-14T00:00:00.000Z,https://techcrunch.com/2020/04/14/the-real-real-layoffs-furloughs/,358.0,0.1,
832,Groupon,['Chicago'],2800.0,2020-04-13T00:00:00.000Z,https://layoffs.fyi/2020/04/17/groupon-laid-off-or-furloughed-2800-employees/,1400.0,0.44,
833,Zoox,['SF Bay Area'],100.0,2020-04-13T00:00:00.000Z,https://www.theinformation.com/briefings/b836b8,955.0,0.1,
835,Meow Wolf,['Santa Fe'],201.0,2020-04-10T00:00:00.000Z,https://www.sfreporter.com/news/2020/04/10/meow-wolf-cuts-significant-portion-of-staff/,185.0,,
843,Yelp,['SF Bay Area'],1000.0,2020-04-09T00:00:00.000Z,https://layoffs.fyi/2020/04/14/yelp-laid-off-1000-employees-and-furloughed-another-1100/,56.0,0.17,
844,Monzo,['Las Vegas'],165.0,2020-04-09T00:00:00.000Z,https://techcrunch.com/2020/04/09/monzo-to-shutter-las-vegas/,324.0,,
845,OneTrust,['Atlanta'],150.0,2020-04-09T00:00:00.000Z,https://www.americaninno.com/atlanta/atlanta-startups/atlanta-privacy-unicorn-onetrust-announces-layoffs/,410.0,0.1,
852,Eventbrite,['SF Bay Area'],500.0,2020-04-08T00:00:00.000Z,https://layoffs.fyi/2020/04/13/eventbrite-laid-off-500-employees/,332.0,0.45,
865,Toast,['Boston'],1300.0,2020-04-07T00:00:00.000Z,https://layoffs.fyi/2020/04/10/toast-cuts-1300-employees/,902.0,0.5,
866,ezCater,['Boston'],400.0,2020-04-07T00:00:00.000Z,https://www.axios.com/ezcater-corporate-catering-unicorn-lays-off-hundreds-084d76ff-45fc-4011-8121-e938924e3819.html,319.0,0.44,
867,Sage Therapeutics,['Boston'],340.0,2020-04-07T00:00:00.000Z, https://www.biopharmadive.com/news/sage-restructuring-layoffs-340-employees/575641/,438.0,0.53,
868,Redfin,['Seattle'],236.0,2020-04-07T00:00:00.000Z,https://www.geekwire.com/2020/redfin-lays-off-7-staff-furloughs-hundreds-agents-due-covid-19-impact-housing-demand/,319.0,0.07,
869,Branch Metrics,['SF Bay Area'],100.0,2020-04-07T00:00:00.000Z,https://news.crunchbase.com/news/branch-metrics-lays-off-20-percent-of-employees/,367.0,0.2,
880,Metromile,['SF Bay Area'],100.0,2020-04-06T00:00:00.000Z,https://layoffs.fyi/2020/04/08/metromile-laid-off-100-employees/,293.0,0.33,
888,Sojern,['SF Bay Area'],300.0,2020-04-03T00:00:00.000Z,https://www.adweek.com/programmatic/sojern-lays-off-50-of-staff-as-coronavirus-cuts-through-the-travel-industry/,162.0,0.5,
889,Minted,['SF Bay Area'],147.0,2020-04-03T00:00:00.000Z,https://www.theinformation.com/briefings/d4f745,297.0,0.37,
890,Velodyne Lidar,['SF Bay Area'],140.0,2020-04-03T00:00:00.000Z,https://www.bloomberg.com/news/articles/2020-04-04/silicon-valley-startup-firings-over-virus-face-early-court-test,225.0,,
891,Zoox,['SF Bay Area'],120.0,2020-04-03T00:00:00.000Z,https://www.theverge.com/2020/4/6/21210000/zoox-layoff-coronavirus-self-driving-car-safety-drivers,955.0,,
908,MindBody,['San Luis Obispo'],700.0,2020-04-02T00:00:00.000Z,https://www.sanluisobispo.com/news/business/article241730706.html,114.0,0.35000000000000003,
909,Katerra,['SF Bay Area'],240.0,2020-04-02T00:00:00.000Z,https://www.constructiondive.com/news/katerra-ceos-salary-cut-to-0-amid-layoffs-operation-shutdowns/575460/,1200.0,0.03,
910,ClassPass,['New York City'],154.0,2020-04-02T00:00:00.000Z,https://layoffs.fyi/2020/04/03/classpass-laid-off-or-furloughed-half-its-staff/,549.0,0.22,
928,Booksy,['SF Bay Area'],200.0,2020-04-01T00:00:00.000Z,LinkedIn,48.0,,
929,PatientPop,['Los Angeles'],100.0,2020-04-01T00:00:00.000Z,LinkedIn,75.0,0.2,
944,KeepTruckin,['SF Bay Area'],349.0,2020-03-31T00:00:00.000Z,https://layoffs.fyi/2020/03/31/keeptruckin-lays-off-another-149-employees-one-month-after-previous-layoff/,227.0,0.18,
945,AdRoll,['Salt Lake City'],210.0,2020-03-31T00:00:00.000Z,https://www.adexchanger.com/online-advertising/nextroll-lays-off-30-institutes-20-paycuts/,89.0,0.3,
946,Rover,['Seattle'],194.0,2020-03-31T00:00:00.000Z,https://www.geekwire.com/2020/pet-care-startup-rover-lays-off-41-workforce-194-employees-due-covid-19-impact/,310.0,0.41000000000000003,
947,Turo,['SF Bay Area'],108.0,2020-03-31T00:00:00.000Z,https://layoffs.fyi/2020/04/21/turo-laid-off-108-employees/,467.0,0.3,
960,Thumbtack,['SF Bay Area'],250.0,2020-03-30T00:00:00.000Z,https://layoffs.fyi/2020/04/06/thumbtack-laid-off-250-employees/,423.0,0.3,
961,RigUp,['Austin'],120.0,2020-03-30T00:00:00.000Z,https://www.americaninno.com/austin/inno-news/austin-tech-unicorn-rigup-sheds-100-plus-jobs/,423.0,0.25,
970,ZipRecruiter,['Los Angeles'],400.0,2020-03-29T00:00:00.000Z,https://www.wsj.com/articles/ziprecruiter-downsizes-as-employers-scale-back-hiring-11585498957,219.0,0.39,
973,WeWork,['New York City'],250.0,2020-03-28T00:00:00.000Z,https://www.reuters.com/article/wework-layoffs/wework-cuts-about-250-more-jobs-to-reduce-costs-source-idUSL4N2BL0DJ,2250.0,,
975,Bird,['Los Angeles'],406.0,2020-03-27T00:00:00.000Z,https://layoffs.fyi/2020/03/30/bird-lays-off-over-400-employees,623.0,0.3,
976,Everlane,['SF Bay Area'],227.0,2020-03-27T00:00:00.000Z,https://www.vice.com/en_ca/article/akw9ej/everlane-reassures-workers-then-lays-off-and-furloughs-hundreds,18.0,,
977,DataRobot,['Boston'],200.0,2020-03-27T00:00:00.000Z,https://www.americaninno.com/boston/inno-news-boston/datarobot-cuts-workforce-as-coronavirus-roils-the-startup-economy/,430.0,,
978,Restaurant365,['Los Angeles'],175.0,2020-03-27T00:00:00.000Z,https://news.crunchbase.com/news/restaurant365-confirms-coronavirus-related-layoffs/,127.0,,
979,Blueground,['New York City'],130.0,2020-03-27T00:00:00.000Z,https://layoffs.fyi/2020/04/08/blueground-laid-off-130-employees/,77.0,0.25,
980,Knotel,['New York City'],127.0,2020-03-27T00:00:00.000Z,https://commercialobserver.com/2020/03/knotel-cuts-half-of-its-staff-amid-coronavirus-pandemic/,560.0,0.3,
981,Getaround,['SF Bay Area'],100.0,2020-03-27T00:00:00.000Z,https://www.bizjournals.com/sanfrancisco/news/2020/03/27/getaround-issues-another-layoff-round-as-it-seeks.html,403.0,0.25,
982,Zipcar,['Boston'],100.0,2020-03-27T00:00:00.000Z,https://layoffs.fyi/2020/04/03/zipcar-laid-off-20-of-staff-amid-widescale-travel-disruption,107.0,0.2,
992,B8ta,['SF Bay Area'],250.0,2020-03-26T00:00:00.000Z,https://www.retaildive.com/news/b8ta-announces-corporate-layoffs-and-store-associate-furloughs/574955/,88.0,0.5,
999,TripActions,['SF Bay Area'],300.0,2020-03-25T00:00:00.000Z,https://layoffs.fyi/2020/03/31/tripactions-laid-off-300-employees-via-a-group-zoom-call/,981.0,0.25,
1000,Lyric,['SF Bay Area'],100.0,2020-03-25T00:00:00.000Z,https://therealdeal.com/2020/03/25/another-bloodbath-lyric-to-slash-jobs-drop-units/,179.1,,
1012,Sonder,['SF Bay Area'],400.0,2020-03-24T00:00:00.000Z,https://layoffs.fyi/2020/03/27/sonder-lays-off-400-employees-bookings-down-20/,359.0,0.33,
1013,Takl,['Nashville'],130.0,2020-03-24T00:00:00.000Z,https://www.bizjournals.com/nashville/news/2020/03/24/hours-before-nashville-company-laid-off-staff-it.html,,,
1019,Compass,['New York City'],375.0,2020-03-23T00:00:00.000Z,https://layoffs.fyi/2020/04/14/compass-laid-off-375-employees-showings-have-dropped-by-60/,1600.0,0.15,
1020,Convene,['New York City'],150.0,2020-03-23T00:00:00.000Z,https://layoffs.fyi/2020/04/08/convene-laid-off-150-employees/,280.0,0.18,
1030,Flywheel Sports,['New York City'],784.0,2020-03-20T00:00:00.000Z,https://stayfit305.com/solidcore-and-flywheel-announce-layoffs-as-a-result-of-covid-19/,120.0,0.98,
1041,Inspirato,['Denver'],130.0,2020-03-16T00:00:00.000Z,https://businessden.com/2020/03/16/inspirato-cuts-20-of-workforce/,79.0,0.22,
